s.no,code,product_name,brands,energy-kcal_value,sugars_value,carbohydrates_value,sugar_to_carb_ratio
322,3.17E+12,Alvalle Gazpacho l'original,Alvalle,40,3.3,3.5,0.942857143
323,6.11E+12,Cacao,Idéal,313,0,0,0
324,4.06E+12,High Protein Chocolate Flavour Pudding,Milbona,76,4,5.2,0.769230769
325,5.05E+12,Pringles Original,"Kellogg's, Pringles",528,1.4,54,0.025925926
326,5.06E+12,Organic Piadina 4 Wholeblend Flatbreads with Extra Virgin Olive Oil,Crosta & Mollica,305,1,47,0.021276596
327,5.01E+12,Lentil & Pea Veggie Cakes - Beetroot & Balsamic,Kallø,424,3.6,51,0.070588235
328,6.11E+12,Star moutarde,Star moutarde de Dijon,158.7,1.94,4.95,0.391919192
329,6.11E+12,Chocolat monogram,Macao,528,53,56,0.946428571
330,3.23E+12,Fourrés Chocolat Au Lait,Bjorg,486,30,67,0.447761194
331,5.05E+12,Pringles,"PRINGLES, PRINGLES ORIGINAL",534,1.4,56,0.025
332,5.01E+12,Country Crisp 4 noix,Jordans,465,18,58,0.310344828
333,4.01E+12,Copos de avena,Brüggen,375,0.7,59,0.011864407
334,6.11E+12,Double concentré de tomates,Aicha,123,9,24,0.375
335,8.71E+12,Maizena Fleur de Maïs Sans Gluten 400g,"Maïzena, Unilever",355,0.5,86,0.005813953
336,4.06E+12,Petit Pains Grillés Blé complet,Maître Jean Pierre,408,4.2,66,0.063636364
337,6.11E+12,Caobel,Aiguebelle,366,79.9,79.9,1
338,3.08E+12,Ratatouille Cuisinée à la Provençale Cassegrain 380g,Cassegrain,72,5.5,5.7,0.964912281
339,4.09E+12,Authentic Greek Yogurt,Brooklea,132,3.1,4.6,0.673913043
340,6.11E+12,Dan up,Danone,46.4706,6.2353,8.6471,0.721085682
341,6.11E+12,Delicia,Délicia,250,11.1429842,61.33,0
342,5.05E+12,Chickpeas In Water,Tesco,117,1.2,15.2,0.078947368
343,20150907,,Alesto,338,70.5,78,0.903846154
344,6.11E+12,Star moutarde 200 g,Star,148,0,4.95,0
345,6.11E+12,ice,ice,54,13.5,13.6,0.992647059
346,3.02E+12,POM'POTES Compotes Gourdes Pomme Nature 1x90g,"Materne, POM'POTES, Sans sucres ajoutés",61,11,13,0.846153846
347,7.61E+12,"Chicorée & Café, RICORÉ® L'Original, Boîte de 260g","Nestlé, Ricoré",141,9.1,9.1,1
348,6.11E+12,Joly Thon Entier,Joly,175,0.97,0.97,1
349,5.02E+12,simply nutty muesli,dorset cereals,376,14.2,64.4,0.220496894
350,6.11E+12,Aicha Tomato Paste,Aicha,117,9,23.7,0.379746835
351,8.40E+12,Muesli Crunchy,Hacendado,401,3.2,52,0.061538462
352,6.11E+12,,Jaouda,163.6,8.5,19.4,0.43814433
353,3.03E+12,Le Choco,"Nestlé, Le chocolat",398,65.8,70.4,0.934659091
354,5.00E+12,HP Sauce Original imp,HP Foods,18,3.5,4.2,0.833333333
355,5.06E+12,Classic Torinesi Breadsticks,Crosta & Mollica,402,2.8,75,0.037333333
356,3.23E+12,Harrys pain de mie 100% mie nature sans croute 500g,Harrys,264,7,48,0.145833333
357,3.76E+12,Pain de mie grandes tranches Toastiligne complet,la boulangère,226,2.8,39,0.071794872
358,6.11E+12,Danone (zéro sucre ajouté zéro matière grasse),Danone,48,0,8.14,0
359,6.11E+12,Activia Céréales,Danone,101,14.3,14.3,1
360,6.11E+12,,رفيع,45,11.1429842,4.8,0
361,3.37E+12,Oméga 3 Doux Tartine & Cuisson,St Hubert,468,0,0,0
362,5.01E+12,Wholemeal Medium Sliced,Warburtons,54,0.6,9,0.066666667
363,5.02E+12,Puy Lentils & French green lentils,Merchant Gourmet,148,1,19,0.052631579
364,7.61E+12,Bitesize shredded wheat,Nestlé,367,0.7,68.7,0.010189229
365,20000653,Doce Extra Morango,"Lidl, Maribel",50,12,12,1
366,3.24E+12,Salade & Compagnie Manhattan Poulet Roti,SODEBO,186,4.1,17,0.241176471
367,3.33E+12,Poudre stevia,Pure Via,2,0,99,0
368,8.00E+12,nutella,Ferrero,539,56.3,57.5,0.979130435
369,6.11E+12,Sidi Ali Kids,,0,0,0,0
370,5.06E+12,Barres de fruits secs & noix Myrtilles,Nakd.,368,49,56,0.875
371,5.00E+12,Hand finished seeded sourdough bread,Coop,251,3,43,0.069767442
372,6.11E+12,Tagger,Bimo,535,47,64,0.734375
373,3.18E+12,Goûter 4S Saveur pommes,Gerblé,456,8.9,65,0.136923077
374,5.00E+12,Wheat Biscuits,Tesco,358,4.4,68,0.064705882
375,5.07E+12,Super Seedy & Nutty Granola,Bio & Me,402,9.6,50.2,0.19123506
376,5.45E+12,Ciel 50cl,Ciel,0,0,0,0
377,5.06E+12,Protein Cocoa Hazelnut Bars,Nakd,421,25.2,32.6,0.773006135
378,8.48E+12,Digestive Avena,Hacendado,477,18,61,0.295081967
379,5.00E+12,Majoneesi,HELLMANN'S,360,0.65,0.7,0.928571429
380,7.62E+12,Thé - Biscuits,Lu,33.069,1.898,5.329,0.356164384
381,3.25E+12,Goûter pépites de chocolat,Gerblé,459,20,67,0.298507463
382,3.18E+12,Petites Madeleines,St Michel,419,23,54,0.425925926
383,8.44E+12,Kéfir natural sabor suave,Hacendado,74,2.3,5.1,0.450980392
384,5.00E+12,Cream of tomato soup imp,Heinz,54,5.1,7.2,0.708333333
385,6.11E+12,Ain Saiss,Eau Minérale,20,4.9,4.9,1
386,3.18E+12,Coulommiers Doux et Crémeux,"CF&R,Cœur de Lion,Savencia",283,0.1,1,0.1
